Name,Location,Type,Rating,Price
SOLTY FAST FOOD (real taste of Chinese) since 1998,ganeshkhind,Chinese,--,200 FOR TWO
"New Sagar Hotel, Khadki",ganeshkhind,"Snacks, South Indian, Sweets",--,100 FOR TWO
Cafe Old Skool,ganeshkhind,Desserts,4.6,300 FOR TWO
Kannu Ki Chai,ganeshkhind,Beverages,4.3,350 FOR TWO
italian Hut,ganeshkhind,"South Indian, Chinese",--,250 FOR TWO
Cream Stone Ice Cream,ganeshkhind,"Ice Cream, Desserts, Beverages",4.4,200 FOR TWO
The Coffee Bean & Tea Leaf,ganeshkhind,"Beverages, Snacks",--,450 FOR TWO
Mumbai Chai,ganeshkhind,"Beverages, Fast Food, Chinese, Street Food",--,200 FOR TWO
BALAJI TEA AND SNACKS CENTER,ganeshkhind,"Beverages, Snacks, Street Food",--,50 FOR TWO
Story Al Iran Aundh,ganeshkhind,"Beverages, Bakery, Snacks, Biryani",--,300 FOR TWO
Sugardough,ganeshkhind,Bakery,--,300 FOR TWO
Yash Regency - Dark Kitchen,ganeshkhind,"Indian, Continental",--,250 FOR TWO
THE CREAMY LAND,ganeshkhind,Desserts,--,400 FOR TWO
BEANS BAR,ganeshkhind,"Beverages, Fast Food",--,200 FOR TWO
The Meal House,ganeshkhind,"Thalis, North Indian, Punjabi, Combo",4.2,250 FOR TWO
Khandoli Nitin's Canteen,ganeshkhind,"Indian, Fast Food, Beverages, Snacks",--,200 FOR TWO
Fithulk Lassi Bar,ganeshkhind,"Beverages, Fast Food",--,200 FOR TWO
Groovy Cafe Pune	,ganeshkhind,"Pizzas, Burgers, Fast Food",--,200 FOR TWO
Shradha cake,ganeshkhind,Bakery,--,200 FOR TWO
Kaldis Berry,ganeshkhind,"Snacks, Beverages, Indian",--,300 FOR TWO
Madras Cafe,ganeshkhind,"South Indian, Thalis, Chinese, North Indian",4.3,250 FOR TWO
Banglore Iyanger Bakery,ganeshkhind,"Bakery, Desserts",--,200 FOR TWO
Juice Destination,ganeshkhind,"Thalis, North Indian, Punjabi, Beverages",4.4,300 FOR TWO
VENKATESH SNACKS CENTER,ganeshkhind,"Beverages, Indian, Snacks",4.2,300 FOR TWO
Urban Bistro,ganeshkhind,"Continental, American, Pizzas, Salads, Beverages",--,400 FOR TWO
EK PREMACHA CHAHA,ganeshkhind,Beverages,--,60 FOR TWO
Fantasy Bakery N Patisserie,ganeshkhind,"Bakery, Desserts",--,100 FOR TWO
THE GLORIOUS CAKE,ganeshkhind,Bakery,--,600 FOR TWO
JAI SHREE KRUSHNA PURE VEG,ganeshkhind,"Indian, Biryani",--,500 FOR TWO
CAFE SKY,ganeshkhind,"Chinese, Juices",--,420 FOR TWO
Nirmal Sai Family Restaurant,ganeshkhind,"North Indian, Mughlai, Chinese",--,400 FOR TWO
Joshi Wadewale,ganeshkhind,"South Indian, Snacks",--,200 FOR TWO
Cafe Coffee Day,ganeshkhind,"Beverages, Snacks, Desserts",--,300 FOR TWO
HOT KATHI ROLLS,ganeshkhind,"Snacks, Indian",--,200 FOR TWO
SHREENATH SANDWITCH,ganeshkhind,"Fast Food, Snacks",--,100 FOR TWO
Dadu's Sweet Emporio,ganeshkhind,"Desserts, Healthy Food, Sweets, Bakery",4.5,600 FOR TWO
Sampoorna,ganeshkhind,"Fast Food, Indian, Italian, Desserts",--,200 FOR TWO
Sushi Stix,ganeshkhind,Japanese,--,500 FOR TWO
Sai Krupa Snacks Center,ganeshkhind,"Beverages, Snacks, South Indian",--,250 FOR TWO
TWO GOOD,ganeshkhind,Indian,4.5,1200 FOR TWO
Wok toss,ganeshkhind,"Pan-Asian, Chinese, Thai, Indonesian, Desserts",--,400 FOR TWO
MAULI SNACKS CENTER,ganeshkhind,"Indian, Snacks",--,200 FOR TWO
Growlthy,ganeshkhind,"Fast Food, Chinese, Snacks, Beverages",--,100 FOR TWO
E- SQUARE THE FERN,ganeshkhind,"Chinese, North Indian, Punjabi, Snacks",--,500 FOR TWO
JOGESHWARI MISAL & BHEL,ganeshkhind,"Chaat, Snacks",--,200 FOR TWO
Flavours Street,ganeshkhind,"Street Food, Snacks, Beverages, Indian",4.0,300 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,ganeshkhind,"Desserts, Ice Cream, Ice Cream Cakes",3.9,300 FOR TWO
The Puneri Breakfast,ganeshkhind,"Fast Food, South Indian",3.9,150 FOR TWO
Ganpat sweets,ganeshkhind,"Indian, Snacks",2.6,100 FOR TWO
Shreya Cakes Studio,ganeshkhind,Bakery,--,300 FOR TWO
Rang De Basanti,ganeshkhind,Indian,--,600 FOR TWO
Swad E Sindh,ganeshkhind,North Indian,3.8,150 FOR TWO
Santosh Bakery,ghorpade-peth,Bakery,4.8,100 FOR TWO
Pizza Hut,ghorpade-peth,Pizzas,3.7,350 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,ghorpade-peth,"Desserts, Ice Cream, Ice Cream Cakes",--,200 FOR TWO
Yolkshire,ghorpade-peth,"Healthy Food, Italian, Salads, Desserts",4.3,400 FOR TWO
Chandan Veg Restaurant,ghorpade-peth,"North Indian, Chinese, Fast Food, South Indian, Beverages",--,500 FOR TWO
Bedekar Misal,ghorpade-peth,Maharashtrian,4.4,400 FOR TWO
Chaayos Chai+Snacks=Relax,ghorpade-peth,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",4.2,250 FOR TWO
Priya,ghorpade-peth,"South Indian, Beverages",4.4,250 FOR TWO
Shrimanti Misal And Snacks,ghorpade-peth,"Maharashtrian, Street Food",4.3,150 FOR TWO
CAFE DURGA,ghorpade-peth,"Indian, Continental, Chinese",3.6,300 FOR TWO
Kekiz The Cake Shop,ghorpade-peth,Desserts,--,400 FOR TWO
NAADBRAMHA IDLI,ghorpade-peth,South Indian,--,100 FOR TWO
Oye Kiddan,ghorpade-peth,"Punjabi, North Indian, Desserts, Thalis",4.2,250 FOR TWO
Yumma Swami,ghorpade-peth,South Indian,4.2,300 FOR TWO
Breaking Bread Pune - Mehta Foods,ghorpade-peth,Indian,--,200 FOR TWO
Fakkad Foods,ghorpade-peth,"Street Food, Fast Food, Indian",4.3,300 FOR TWO
Shri Kailash dairy,ghorpade-peth,"Beverages, Desserts, Sweets, Snacks, Ice Cream",4.4,200 FOR TWO
Anna Idli,ghorpade-peth,"South Indian, Andhra",4.4,300 FOR TWO
Rohit Wadewale,ghorpade-peth,North Indian,--,150 FOR TWO
Rajasthan Sweet Mart,ghorpade-peth,Sweets,--,50 FOR TWO
Hotel Annapurna Tarangan,ghorpade-peth,Maharashtrian,4.1,150 FOR TWO
Punjab Canteen,ghorpade-peth,"Punjabi, North Indian, Chaat, Biryani, Kebabs, Desserts, Beverages, Tandoor",4.2,300 FOR TWO
Mad Over Donuts,ghorpade-peth,"Desserts, Sweets, Bakery",4.3,200 FOR TWO
Vateshwar Bhuvan,ghorpade-peth,Fast Food,4.4,150 FOR TWO
Maskawala & Co.,ghorpade-peth,"Snacks, Biryani, Bakery",4.4,400 FOR TWO
Pizza Paradise,ghorpade-peth,"Pizzas, Burgers, Pastas, Italian, Street Food",--,200 FOR TWO
Third Wave Coffee,ghorpade-peth,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Jayashree Garden,ghorpade-peth,"North Indian, Chinese, Continental",4.2,500 FOR TWO
Katakirr Misal,ghorpade-peth,"Snacks, Maharashtrian",4.1,200 FOR TWO
Cafe Arabia,ghorpade-peth,"Lebanese, Middle Eastern, Mediterranean",4.3,450 FOR TWO
Hotel Bismillah,ghorpade-peth,North Indian,3.9,300 FOR TWO
Naghbrahma Davangiri Bennedosa,ghorpade-peth,South Indian,4.5,200 FOR TWO
Naghbrahma Davangiri Bennedosa,ghorpade-peth,South Indian,4.5,200 FOR TWO
Kiosk Kaffee,ghorpade-peth,Beverages,--,350 FOR TWO
Sai Chaya Misal House,ghorpade-peth,"Chinese, Snacks, North Indian",--,200 FOR TWO
Arayan Veg Pulav,ghorpade-peth,"Street Food, Indian, Snacks",--,100 FOR TWO
Wadeshwar (Bajirao road),ghorpade-peth,"South Indian, Snacks, Street Food, Beverages",4.6,350 FOR TWO
Hotel Maharashtra,ghorpade-peth,North Indian,4.1,300 FOR TWO
PVR Cafe,ghorpade-peth,"Snacks, Fast Food, Beverages",3.8,400 FOR TWO
Shree Kala - Aaba Misalwale,ghorpade-peth,"Street Food, Maharashtrian, Snacks, Sweets",4.4,200 FOR TWO
Malabar Restaurant,ghorpade-peth,Indian,3.8,300 FOR TWO
SANJEEVINI  SNACKES CORNER,ghorpade-peth,"Snacks, Street Food, Beverages",--,220 FOR TWO
Kaka Halwai,ghorpade-peth,Street Food,4.4,150 FOR TWO
Shivtirth Vadapav	,ghorpade-peth,"Maharashtrian, Snacks, Beverages",--,100 FOR TWO
KERALA HOUSE,ghorpade-peth,"Indian, Chinese",3.5,300 FOR TWO
Gatti Chutney,ghorpade-peth,"South Indian, Beverages",4.0,200 FOR TWO
AKIZER,ghorpade-peth,Beverages,--,198 FOR TWO
Saba Traders,ghorpade-peth,Indian,--,100 FOR TWO
Jagaat Bhaari Kolhapuri,ghorpade-peth,Maharashtrian,4.4,200 FOR TWO
Faasos - Wraps & Rolls,ghorpade-peth,"Fast Food, North Indian, Street Food, Desserts",4.1,200 FOR TWO
Atithi veg,ghorpade-peth,"North Indian, Maharashtrian, Chinese, Tandoor, Biryani, Beverages",3.8,500 FOR TWO
Oum Kailash Dairy,ghorpade-peth,Desserts,--,150 FOR TWO
Mai wadewale,ghorpade-peth,"Street Food, Snacks, Beverages",--,200 FOR TWO
Chitale Bandhu Mithaiwale,ghorpade-peth,"Sweets, Snacks, Desserts",4.6,450 FOR TWO
Navratna Veg,ghorpade-peth,"North Indian, Chinese, South Indian, Fast Food",4.3,300 FOR TWO
Deepak Special Tea House,ghorpade-peth,"Indian, Snacks",--,300 FOR TWO
Hotel Madinah,ghorpade-peth,"Chinese, Indian, Biryani, Fast Food",3.5,350 FOR TWO
Aamhi Pohekar,ghorpade-peth,"North Indian, Maharashtrian, Snacks",4.6,100 FOR TWO
Chitale Ice Cream,ghorpade-peth,Ice Cream,4.5,500 FOR TWO
The Cake and Cream Factory,ghorpade-peth,"Bakery, Desserts, Snacks",--,400 FOR TWO
GRILL POINT,ghorpade-peth,Snacks,--,200 FOR TWO
Bhadait Misal,ghorpade-peth,"Maharashtrian, Snacks",4.4,150 FOR TWO
Sweet Truth - Cake and Desserts,ghorpade-peth,"Bakery, Desserts",3.9,450 FOR TWO
Supriya Restaurant,ghorpade-peth,"North Indian, Chinese, South Indian, Fast Food, Beverages, Snacks",4.5,300 FOR TWO
Hotel Zam Zam,ghorpade-peth,"North Indian, Chinese",3.0,300 FOR TWO
Hotel New Star,ghorpade-peth,North Indian,--,300 FOR TWO
Hotel Diamond,ghorpade-peth,"Indian, Maharashtrian, Thai, Biryani",--,250 FOR TWO
Peppino,ghorpade-peth,"Italian, Pizzas, Chinese",--,700 FOR TWO
Buva Snacks Vadapav Dosa Center,ghorpade-peth,"Street Food, South Indian, Snacks",--,100 FOR TWO
Babus Laxmi Narayan Best Chiwda,ghorpade-peth,Snacks,--,400 FOR TWO
Yenna Dosa,ghorpade-peth,South Indian,4.4,300 FOR TWO
Cafe U N ME,ghorpade-peth,Indian,--,400 FOR TWO
Labbaik Biryani House,ghorpade-peth,"Biryani, North Indian",2.6,200 FOR TWO
RAHUL WADEWALE,ghorpade-peth,"Snacks, Beverages, Indian",--,100 FOR TWO
McDonald's,ghorpade-peth,"Burgers, Beverages, Cafe, Desserts",4.2,400 FOR TWO
Subhanallah Hotel,ghorpade-peth,"North Indian, Mughlai",--,400 FOR TWO
Rahmath hotel,ghorpade-peth,Indian,--,200 FOR TWO
AK Chinese Corner,ghorpade-peth,"Biryani, Chinese, North Indian",--,300 FOR TWO
Copper Chocs,ghorpade-peth,"Desserts, Bakery",--,400 FOR TWO
SHRI BALAJI IDLI WADA CENTER,ghorpade-peth,South Indian,4.4,150 FOR TWO
Irani Cafe,ghorpade-peth,"Bakery, Snacks, Fast Food, Desserts, Beverages, Indian, Street Food",4.4,200 FOR TWO
LunchBox - Meals and Thalis,ghorpade-peth,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.0,200 FOR TWO
Garden Vada Pav Centre,ghorpade-peth,Street Food,4.3,100 FOR TWO
Cafe Coffee Day,ghorpade-peth,"Beverages, Snacks, Desserts",3.3,300 FOR TWO
HINDUSTAN BAKERY,ghorpade-peth,"Bakery, Snacks",--,100 FOR TWO
Joes Bakery,ghorpade-peth,"Bakery, Desserts",--,200 FOR TWO
Kulkarni Veg	,ghorpade-peth,"Indian, Thalis, Desserts",--,200 FOR TWO
Momo mafia,ghorpade-peth,"Tandoor, North Indian, Indian",--,200 FOR TWO
Cream Corner Cake N Cafe,ghorpade-peth,Bakery,--,350 FOR TWO
Marz O Rin,ghorpade-peth,"Bakery, Beverages, Snacks, Desserts",4.4,450 FOR TWO
Hotel Buff Special,ghorpade-peth,North Indian,3.6,300 FOR TWO
Dairy Rich Kulfi,ghorpade-peth,"Desserts, Fast Food, Punjabi",--,150 FOR TWO
La Cherie Cheesecake,ghorpade-peth,"Bakery, Desserts",4.5,500 FOR TWO
The Cake Shop And Cafe,ghorpade-peth,"Fast Food, Pizzas, Bakery",--,400 FOR TWO
Anarse Samosewale,ghorpade-peth,Snacks,4.2,100 FOR TWO
 Hotel Ramnath Kolhapuri Misal,ghorpade-peth,Street Food,4.0,150 FOR TWO
Pizza Hot,ghorpade-peth,"Pizzas, Burgers, Pastas, Italian, Street Food",--,200 FOR TWO
The Brew Social,ghorpade-peth,Beverages,--,400 FOR TWO
Faasos' Signature Wraps & Rolls,ghorpade-peth,"Snacks, Beverages, Desserts, Indian",--,350 FOR TWO
Jayashree Misal,ghorpade-peth,Snacks,--,150 FOR TWO
New Maharashtra Bakers,ghorpade-peth,Indian,--,200 FOR TWO
Cafe Bistro,ghorpade-peth,Continental,--,250 FOR TWO
POONA CENTRAL RESTAURANT,ghorpade-peth,"North Indian, Chinese, Tandoor, Biryani",--,1000 FOR TWO
R J Bakers,ghorpade-peth,"Bakery, Fast Food, Italian",--,250 FOR TWO
Jai Maharashtra,ghorpade-peth,"Tandoor, Indian, North Indian, Chinese",--,350 FOR TWO
Ms. Veggies,ghorpade-peth,"Italian-American, Pizzas, Beverages, Pastas, American",--,250 FOR TWO
ZamZam Restaurant,ghorpade-peth,"Indian, North Indian, Chinese",--,350 FOR TWO
Marhaba Restaurant,ghorpade-peth,"Tandoor, Indian, North Indian, Chinese",--,350 FOR TWO
Hotel Shamiaana,ghorpade-peth,North Indian,--,300 FOR TWO
Al-Afiya Restaurant,ghorpade-peth,"Indian, North Indian, Chinese",--,350 FOR TWO
Mummy's Kitchen,ghorpade-peth,Snacks,--,250 FOR TWO
The BrrGrr Kitchen - By Cafe Bistro,ghorpade-peth,"Snacks, Beverages",--,300 FOR TWO
NRH BADSHAHI,ghorpade-peth,"Fast Food, Snacks, Beverages",--,200 FOR TWO
Arabian Mexico Restaurant,ghorpade-peth,Maharashtrian,--,350 FOR TWO
The Brooklyn Creamery - Healthy Ice Cream,ghorpade-peth,"Desserts, Ice Cream",--,200 FOR TWO
Chicking Cafe,ghorpade-peth,"North Indian, Chinese, Biryani",--,350 FOR TWO
hotel pune,ghorpade-peth,"Biryani, Beverages",--,200 FOR TWO
RATHOD SNACKS,ghorpade-peth,Snacks,4.3,200 FOR TWO
Poona Cafe,ghorpade-peth,"North Indian, Chinese, South Indian",4.4,200 FOR TWO
Appa,ghorpade-peth,Street Food,4.3,150 FOR TWO
HOTEL GEETA VIHAR,ghorpade-peth,"North Indian, South Indian, Biryani, Snacks",--,300 FOR TWO
NEW GIRIJA RESTAURANT,ghorpade-peth,North Indian,--,300 FOR TWO
Merwans Cake Stop,ghorpade-peth,"Bakery, Desserts",4.5,400 FOR TWO
Kharade Wadewale,ghorpade-peth,Snacks,--,100 FOR TWO
Granny Ammaas Cake,ghorpade-peth,"Desserts, Bakery",3.7,300 FOR TWO
New Sweet Home Hotel Abhijat,ghorpade-peth,"Maharashtrian, South Indian",4.4,250 FOR TWO
The Pastry Kitchen,ghorpade-peth,Bakery,--,250 FOR TWO
Cafe Goodluck,ghorpade-peth,"North Indian, Biryani, Snacks, Beverages, Bakery",4.3,350 FOR TWO
Oye Kiddan,ncl-pune,"North Indian, Punjabi, Thalis",4.1,250 FOR TWO
Abhiman Pure Veg,ncl-pune,"North Indian, Chinese",4.1,450 FOR TWO
Anna Idli,ncl-pune,"South Indian, Andhra",4.4,350 FOR TWO
Yolkshire,ncl-pune,"Healthy Food, Italian, Salads, Desserts",4.3,400 FOR TWO
THE CREAMY LAND,ncl-pune,Desserts,--,400 FOR TWO
Juicewale,ncl-pune,"Beverages, Juices",--,200 FOR TWO
Aashirwad Cafe,ncl-pune,"Indian, Chinese, South Indian, Italian",--,200 FOR TWO
Subway,ncl-pune,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.0,350 FOR TWO
Burger King,ncl-pune,"Burgers, American",4.1,350 FOR TWO
Wake and Bake,ncl-pune,"Desserts, Sweets",4.4,350 FOR TWO
Third Wave Coffee,ncl-pune,"Beverages, Fast Food, Snacks",4.4,400 FOR TWO
Cafe Old Skool,ncl-pune,Desserts,4.6,300 FOR TWO
Mithas,ncl-pune,"Sweets, Desserts, Snacks",4.5,450 FOR TWO
Punjab Canteen,ncl-pune,"Punjabi, North Indian, Chaat, Biryani, Kebabs, Desserts, Beverages, Tandoor",4.2,300 FOR TWO
Hotel Lazeez,ncl-pune,"North Indian, Thalis, Biryani",--,300 FOR TWO
DURGA SNACKS,ncl-pune,"Snacks, Indian, South Indian, Street Food, Chaat",4.3,300 FOR TWO
Fakkad Foods,ncl-pune,"Street Food, Fast Food, Indian",4.3,300 FOR TWO
The Pizza Box,ncl-pune,Italian,4.0,250 FOR TWO
INDORI POHA & DIET POHA,ncl-pune,Snacks,--,70 FOR TWO
Punjab Canteen,ncl-pune,"Punjabi, North Indian, Chaat, Biryani, Kebabs, Desserts, Beverages, Tandoor",4.2,300 FOR TWO
CAFE PARATHA PLUS PASHAN,ncl-pune,"Snacks, Beverages",--,200 FOR TWO
Pizza Hut,ncl-pune,Pizzas,3.9,350 FOR TWO
Sai Sagar Pure Veg- Aundh,ncl-pune,"Indian, Punjabi, South Indian, Beverages",4.2,250 FOR TWO
Falahaar,ncl-pune,"Juices, Beverages, Snacks, Fast Food, Italian, Pizzas, Street Food, Desserts",4.5,350 FOR TWO
Shri Chaturshringi mata Snacks center,ncl-pune,Indian,4.0,200 FOR TWO
Starbucks Coffee,ncl-pune,"Beverages, Ice Cream",4.3,400 FOR TWO
Ishan Pure Veg,ncl-pune,"North Indian, Chinese, South Indian, Beverages",4.5,400 FOR TWO
Amhi Pohekar,ncl-pune,"Snacks, Indian, Beverages",4.0,150 FOR TWO
Live fresh cake,ncl-pune,Bakery,--,800 FOR TWO
Urban Bistro,ncl-pune,"Continental, American, Pizzas, Salads, Beverages",--,400 FOR TWO
Kiosk Kaffee,ncl-pune,"Beverages, Snacks",--,300 FOR TWO
Fantasy Bakery N Patisserie,ncl-pune,"Bakery, Desserts",--,100 FOR TWO
Subway,ncl-pune,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.2,350 FOR TWO
Pizzaria,ncl-pune,Pizzas,--,400 FOR TWO
Vidarbh Tadka,ncl-pune,"North Indian, Fast Food, Beverages, Snacks",--,1500 FOR TWO
Kaka Halwai Sweets and Namkeen,ncl-pune,"Sweets, Snacks",4.3,350 FOR TWO
Chitale Bandhu Mithaiwale,ncl-pune,"Sweets, Snacks, Beverages",4.7,450 FOR TWO
MADURAI TIFFIN,ncl-pune,South Indian,4.1,500 FOR TWO
Juice Destination,ncl-pune,"Thalis, North Indian, Punjabi, Beverages",4.4,300 FOR TWO
Khaidai ,ncl-pune,"Bengali, Chinese, North Indian, Biryani",3.9,200 FOR TWO
Sushi Stix,ncl-pune,Japanese,--,500 FOR TWO
Pongade Biryani House,ncl-pune,"Biryani, Chinese, Snacks, Indian, Beverages",--,400 FOR TWO
Maharaja Wada,ncl-pune,"Indian, Chaat, Beverages, Pizzas",4.6,150 FOR TWO
Eat-O-Keto  (Sugar free & Gluten free),ncl-pune,"Healthy Food, Keto, Beverages, Desserts, Indian, Continental",4.3,500 FOR TWO
V Cafe - Meals By PVR,ncl-pune,"Pizzas, Snacks, American",3.8,400 FOR TWO
Cake Connection Factory,ncl-pune,"Bakery, Desserts, Snacks",--,300 FOR TWO
Wok toss,ncl-pune,"Pan-Asian, Chinese, Thai, Indonesian, Desserts",--,400 FOR TWO
Mad Over Donuts,ncl-pune,"Desserts, Sweets, Bakery",4.4,200 FOR TWO
Darshini,ncl-pune,South Indian,4.2,200 FOR TWO
Cafe PeterDonuts,ncl-pune,"Continental, Desserts",4.1,400 FOR TWO
Sudamache Pohe,ncl-pune,Snacks,4.5,100 FOR TWO
S.A Dosa Cafe,ncl-pune,South Indian,3.3,250 FOR TWO
Brewing Bistro,ncl-pune,"Beverages, Continental, Desserts, Italian",4.3,600 FOR TWO
TWO GOOD,ncl-pune,Indian,4.5,1200 FOR TWO
Chotu Tapriwala,ncl-pune,Beverages,--,300 FOR TWO
Kannu Ki Chai,ncl-pune,Beverages,4.3,350 FOR TWO
DEMITASSE COFFEE,ncl-pune,"Beverages, Ice Cream",--,300 FOR TWO
Cafe Goodluck,ncl-pune,"Snacks, Beverages, Desserts",4.5,250 FOR TWO
italian Hut,ncl-pune,"South Indian, Chinese",--,250 FOR TWO
Cafe Coffee Day,ncl-pune,"Beverages, Snacks, Desserts",--,300 FOR TWO
Story Al Iran Aundh,ncl-pune,"Beverages, Bakery, Snacks, Biryani",--,300 FOR TWO
BK Cafe,ncl-pune,"American, Cafe",--,350 FOR TWO
CLASICO DE CAFE,ncl-pune,"Beverages, Burgers, Snacks",--,300 FOR TWO
Khandoli Nitin's Canteen,ncl-pune,"Indian, Fast Food, Beverages, Snacks",--,200 FOR TWO
Tea Post,ncl-pune,"Beverages, Snacks",--,300 FOR TWO
Shree Someshwar Misal House,ncl-pune,Snacks,--,200 FOR TWO
Fithulk Lassi Bar,ncl-pune,"Beverages, Fast Food",--,200 FOR TWO
JAI SHREE KRUSHNA PURE VEG,ncl-pune,"Indian, Biryani",--,500 FOR TWO
Sugardough,ncl-pune,Bakery,--,300 FOR TWO
Keventers Ice Cream,ncl-pune,"Ice Cream, Desserts",--,200 FOR TWO
Yash Regency - Dark Kitchen,ncl-pune,"Indian, Continental",--,250 FOR TWO
Kaldis Berry,ncl-pune,"Snacks, Beverages, Indian",--,300 FOR TWO
The Good Place,ncl-pune,"Healthy Food, Beverages",--,500 FOR TWO
PVR Cafe,ncl-pune,"Snacks, Fast Food, Beverages",4.1,400 FOR TWO
BEANS BAR,ncl-pune,"Beverages, Fast Food",--,200 FOR TWO
Indore Spices,ncl-pune,"Street Food, Snacks",4.4,150 FOR TWO
Sai Sagar Pure Veg- Aundh,ncl-pune,"Indian, Punjabi, South Indian, Beverages",4.2,250 FOR TWO
Chefs On A Wheel,ncl-pune,"Fast Food, Snacks, Beverages",--,200 FOR TWO
Origin Bistro,ncl-pune,European,4.4,650 FOR TWO
The Belgian Waffle Co.,ncl-pune,"Waffle, Desserts, Ice Cream",4.5,200 FOR TWO
Ganesh Bhel,ncl-pune,Fast Food,4.1,100 FOR TWO
Theobroma,ncl-pune,"Bakery, Desserts",4.5,500 FOR TWO
Dadu's Sweet Emporio,ncl-pune,"Desserts, Healthy Food, Sweets, Bakery",4.5,600 FOR TWO
Banglore Iyanger Bakery,ncl-pune,"Bakery, Desserts",--,200 FOR TWO
POSHAK,ncl-pune,"Juices, Salads",4.5,250 FOR TWO
Wholesome meals,ncl-pune,"North Indian, Punjabi, Indian, Desserts, Beverages, Combo",4.0,250 FOR TWO
Shiv Sagar,ncl-pune,"North Indian, Chinese, Italian, South Indian, Mexican",4.3,500 FOR TWO
Niranjan Veg Restaurant,ncl-pune,"South Indian, Maharashtrian, Chinese, Fast Food, Beverages",4.5,400 FOR TWO
The Baker's Dozen,ncl-pune,"Bakery, Desserts, Juices, Beverages, Snacks",4.1,300 FOR TWO
Upsouth,ncl-pune,South Indian,3.5,250 FOR TWO
The Meal House,ncl-pune,"Thalis, North Indian, Punjabi, Combo",4.2,250 FOR TWO
McDonald's Gourmet Burger Collection,ncl-pune,"Burgers, Beverages, Cafe, Desserts",3.7,600 FOR TWO
JoyFetch,ncl-pune,"Thalis, North Indian, Desserts, Beverages",--,200 FOR TWO
Nashtaram,ncl-pune,Indian,--,100 FOR TWO
chef's craft nation,ncl-pune,"Snacks, Pizzas, Fast Food, Burgers, Beverages",--,250 FOR TWO
Rohit Wadewale Pashan,ncl-pune,"South Indian, Indian, Maharashtrian",4.3,100 FOR TWO
Rohit Wadewale Pashan,ncl-pune,"South Indian, Indian, Maharashtrian",4.3,100 FOR TWO
Chinese drailtrail,ncl-pune,"Chinese, Fast Food, Snacks",--,200 FOR TWO
BALAJI TEA AND SNACKS CENTER,ncl-pune,"Beverages, Snacks, Street Food",--,50 FOR TWO
The Bombay Paratha Company,ncl-pune,"North Indian, Indian, Punjabi, Combo, Desserts, Beverages",3.3,350 FOR TWO
Mumbai Chai,ncl-pune,"Beverages, Fast Food, Chinese, Street Food",--,200 FOR TWO
Giridhar,ncl-pune,"North Indian, South Indian, Chinese, Snacks, Biryani",4.4,300 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,ncl-pune,"Desserts, Ice Cream, Ice Cream Cakes",--,200 FOR TWO
R K Kitchen,ncl-pune,"Beverages, Indian, Snacks",4.4,200 FOR TWO
Chocolate Biclate,ncl-pune,"Bakery, Desserts, Beverages",4.4,250 FOR TWO
De Coccadotts Cake,ncl-pune,Bakery,--,200 FOR TWO
Skoop Ice Cream Parlour,ncl-pune,Desserts,--,200 FOR TWO
kulfi  magic,ncl-pune,Ice Cream,--,100 FOR TWO
Tea Fancilla,ncl-pune,"Indian, Beverages, North Indian, Maharashtrian, Italian, Snacks",--,400 FOR TWO
Ganpat sweets,ncl-pune,"Indian, Snacks",2.6,100 FOR TWO
ROLLING IN DOUGH,ncl-pune,"Continental, Bakery",4.6,800 FOR TWO
The Mighty Crust Pizzeria ,ncl-pune,Pizzas,--,300 FOR TWO
McCafe by McDonald's,ncl-pune,"American, Beverages, Desserts",--,250 FOR TWO
THE BELGIAN CAKE,ncl-pune,"Bakery, Desserts",3.0,150 FOR TWO
Sufiz Bake House,ncl-pune,"Bakery, Desserts",3.4,400 FOR TWO
cafe Magic of Taste,ncl-pune,Snacks,--,250 FOR TWO
Cream Stone Ice Cream,ncl-pune,"Ice Cream, Desserts, Beverages",4.4,200 FOR TWO
The Coffee Bean & Tea Leaf,ncl-pune,"Beverages, Snacks",--,450 FOR TWO
Schokolade Patisserie,ncl-pune,Bakery,4.2,200 FOR TWO
DE CHEESECAKE STUDIO,ncl-pune,"Bakery, Snacks",--,150 FOR TWO
CAKE N KING,ncl-pune,Bakery,--,250 FOR TWO
Tea Villa Cafe,ncl-pune,"Continental, Mediterranean, Italian, Desserts, Beverages",4.1,800 FOR TWO
Sassy Teaspoon,ncl-pune,Desserts,4.4,800 FOR TWO
THE BURGER BYTE CAFE,ncl-pune,"Burgers, Fast Food, Pizzas, Snacks",4.1,170 FOR TWO
Chai Point,ncl-pune,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",4.3,150 FOR TWO
THE GLORIOUS CAKE,ncl-pune,Bakery,--,600 FOR TWO
The Flour Works,ncl-pune,"European, American, Bakery",4.4,1000 FOR TWO
